Date,soya_bean_meal_future_price/share,rice_future_price,corn_future_price,Wheat.CBT_price
4/6/2022,3864,3362,2862,1038.25
4/7/2022,3834,3364,2952,1020
4/8/2022,3864,3363,2928,1058.25
4/11/2022,3929,3345,2923,1089
4/12/2022,3906,3327,2913,1112.5
4/13/2022,3915,3335,2919,1121.25
4/14/2022,3914,3342,2937,1104.5
4/15/2022,3916,3339,2959,1116.625
4/18/2022,3931,3368,2963,1128.75
4/19/2022,3978,3426,2984,1109
4/20/2022,4048,3422,2998,1097.5
4/21/2022,4091,3424,3013,1076.5
4/22/2022,4097,3423,3000,1075.25
4/25/2022,4020,3447,2981,1072.5
4/26/2022,3982,3449,2991,1095
4/27/2022,4005,3440,2988,1091.25
4/28/2022,4030,3429,3009,1085.75
4/29/2022,4049,3416,3027,1055.75
5/5/2022,4025,3427,3024,1106.5
5/6/2022,4028,3425,3003,1108.5
5/9/2022,3928,3433,2990,1092.75
5/10/2022,3901,3448,2971,1092.75
5/11/2022,3927,3452,2971,1113
5/12/2022,3942,3454,2974,1178.75
5/13/2022,4017,3449,2990,1177.5
5/16/2022,4106,3462,2992,1247.5
5/17/2022,4128,3458,3008,1277.5
5/18/2022,4143,3454,3011,1230.75
5/19/2022,4129,3445,3003,1200.5
5/20/2022,4155,3432,2998,1168.75
5/23/2022,4195,3410,2993,1190
5/24/2022,4113,3389,2969,1154.75
5/25/2022,4097,3392,2942,1148.25
5/26/2022,4080,3380,2931,1143.25
5/27/2022,4172,3376,2938,1157.5
5/30/2022,4188,3392,2933,1122.5
5/31/2022,4205,3386,2935,1087.5
6/1/2022,4144,3373,2897,1041.25
6/2/2022,4134,3368,2877,1058.25
6/6/2022,4166,3358,2893,1093
6/7/2022,4129,3356,2886,1071.75
6/8/2022,4154,3349,2896,1074.75
6/9/2022,4209,3357,2877,1071.25
6/10/2022,4239,3371,2860,1070.75
6/13/2022,4210,3367,2877,1071
6/14/2022,4131,3372,2893,1050.25
6/15/2022,4118,3369,2881,1050
6/16/2022,4115,3374,2888,1078.25
6/17/2022,4151,3358,2897,1034.25
6/20/2022,4157,3344,2906,1004.75
6/21/2022,4105,3338,2895,975.25
6/22/2022,4076,3318,2872,988.75
6/23/2022,3891,3317,2834,949.25
6/24/2022,3787,3319,2795,936.5
6/27/2022,3805,3324,2799,917.5
6/28/2022,3866,3329,2805,936
6/29/2022,3887,3332,2811,930
6/30/2022,3901,3333,2792,884
7/1/2022,3886,3323,2739,846
7/4/2022,3816,3321,2707,826.5
7/5/2022,3833,3352,2703,807
7/6/2022,3762,3363,2672,804.5
7/7/2022,3855,3352,2705,836.5
7/8/2022,3919,3347,2722,891.5
7/11/2022,3957,3348,2743,856.5
7/12/2022,3971,3352,2726,814.25
7/13/2022,3891,3349,2691,810.75
7/14/2022,3926,3348,2704,795
7/15/2022,3927,3343,2696,776.75
7/18/2022,3930,3331,2676,812.75
7/19/2022,3951,3329,2659,812.25
7/20/2022,3819,3340,2613,819.5
7/21/2022,3818,3349,2613,806.25
7/22/2022,3775,3352,2577,759
7/25/2022,3806,3353,2580,770
7/26/2022,3862,3347,2620,803.75
7/27/2022,3913,3348,2635,790.25
7/28/2022,3970,3345,2663,817
7/29/2022,3963,3347,2666,807.75
8/1/2022,4027,3347,2670,800.25
8/2/2022,3957,3355,2669,774.75
8/3/2022,3955,3357,2682,763.75
8/4/2022,3946,3349,2671,782.5
8/5/2022,4027,3350,2677,775.75
8/8/2022,4024,3349,2673,779.75
8/9/2022,4019,3351,2697,781.5
8/10/2022,4049,3350,2721,799.75
8/11/2022,3733,3354,2707,810.75
8/12/2022,3749,3351,2750,806
8/15/2022,3716,3356,2739,800.75
8/16/2022,3664,3397,2738,802.75
8/17/2022,3658,3408,2729,780.5
8/18/2022,3655,3427,2702,749
8/19/2022,3662,3444,2687,771
8/22/2022,3681,3444,2688,788.25
8/23/2022,3806,3417,2719,800.5
8/24/2022,3864,3413,2745,813.25
8/25/2022,3846,3393,2739,789
8/26/2022,3784,3371,2746,805.25
8/29/2022,3789,3379,2784,842.75
8/30/2022,3767,3366,2796,820.25
8/31/2022,3763,3359,2789,831.5
9/1/2022,3767,3344,2791,794.25
9/2/2022,3781,3360,2791,811
9/5/2022,3844,3372,2802,814
9/6/2022,3833,3379,2819,817
9/7/2022,3815,3378,2807,844.25
9/8/2022,3869,3389,2803,829
9/9/2022,3839,3404,2804,869.5
9/13/2022,4048,3411,2838,860.5
9/14/2022,4049,3409,2835,872.25
9/15/2022,3997,3408,2832,845
9/16/2022,3992,3421,2837,859.75
9/19/2022,3996,3418,2844,830.5
9/20/2022,4008,3418,2832,893.75
9/21/2022,4028,3417,2847,903.75
9/22/2022,4067,3416,2847,910.75
9/23/2022,4058,3415,2835,880.5
9/26/2022,4016,3414,2802,858
9/27/2022,4030,3415,2779,871.5
9/28/2022,4054,3410,2763,903.25
9/29/2022,4102,3398,2766,896.25
9/30/2022,4104,3394,2771,921.5
10/10/2022,4112,3386,2782,938
10/11/2022,4066,3376,2822,901
10/12/2022,4048,3378,2829,882.25
10/13/2022,4088,3383,2839,892.25
10/14/2022,4123,3373,2852,859.75
10/17/2022,4111,3379,2856,861
10/18/2022,4032,3386,2848,849.5
10/19/2022,3992,3383,2852,841.25
10/20/2022,4009,3398,2849,849.25
10/21/2022,4049,3411,2870,850.75
10/24/2022,4037,3415,2882,838.75
10/25/2022,4038,3409,2862,834.75
10/26/2022,4078,3403,2867,840.5
10/27/2022,4078,3391,2870,838.5
10/28/2022,4062,3380,2864,829.25
10/31/2022,4074,3382,2873,882.25
11/1/2022,4190,3379,2877,902.5
11/2/2022,4242,3379,2878,846
11/3/2022,4195,3386,2842,840.5
11/4/2022,4188,3396,2856,847.75
11/7/2022,4197,3407,2876,845.75
11/8/2022,4246,3402,2890,827.75
11/9/2022,4245,3397,2879,806.5
11/10/2022,4284,3396,2872,803.5
11/11/2022,4249,3399,2880,813.75
11/14/2022,4191,3399,2870,818.5
11/15/2022,4155,3395,2849,828.25
11/16/2022,4154,3401,2836,817.5
11/17/2022,4151,3406,2821,806.75
11/18/2022,4122,3406,2813,803.25
11/21/2022,4132,3397,2841,818.25
11/22/2022,4168,3389,2853,810.5
11/23/2022,4197,3396,2870,813.5
11/24/2022,4245,3392,2879,805.25
11/25/2022,4277,3402,2916,797
11/28/2022,4252,3410,2931,780.75
11/29/2022,4248,3414,2923,781.5
11/30/2022,4277,3414,2897,795.5
12/1/2022,4286,3412,2900,783
12/2/2022,4284,3400,2886,761
12/5/2022,4261,3389,2853,739
12/6/2022,4255,3390,2833,729
12/7/2022,4280,3398,2809,749.5
12/8/2022,4375,3387,2822,746.25
12/9/2022,4426,3383,2818,734.25
12/12/2022,4406,3372,2820,754.75
12/13/2022,4364,3362,2818,750.75
12/14/2022,4329,3364,2803,749.25
12/15/2022,4268,3365,2790,757.25
12/16/2022,4313,3364,2809,753.5
12/19/2022,3724,3362,2800,748.5
12/20/2022,3706,3360,2780,750.5
12/21/2022,3755,3356,2742,767.75
12/22/2022,3772,3360,2751,762.25
12/23/2022,3775,3361,2750,776
12/26/2022,3852,3363,2768,775.25
12/27/2022,3890,3368,2780,774.5
12/28/2022,3842,3373,2807,785.5
12/29/2022,3867,3378,2817,774
12/30/2022,3898,3369,2821,792
1/3/2023,3942,3377,2830,775.5
1/4/2023,3890,3367,2863,745.5
1/5/2023,3843,3358,2872,746.75
1/6/2023,3801,3364,2879,743.5
1/9/2023,3811,3363,2887,741.5
1/10/2023,3785,3345,2871,731
1/11/2023,3796,3339,2867,740
1/12/2023,3854,3338,2875,742.75
1/13/2023,3896,3343,2884,743.75
1/16/2023,3895,3349,2880,747.75
1/17/2023,3879,3351,2883,751.75
1/18/2023,3925,3356,2889,742.5
1/19/2023,3897,3362,2883,734.5
1/20/2023,3859,3363,2861,741.5
1/30/2023,3884,3357,2890,752.5
1/31/2023,3917,3343,2859,761.25
2/1/2023,3884,3345,2829,759.75
2/2/2023,3881,3369,2833,761
2/3/2023,3870,3379,2834,756.75
2/6/2023,3918,3384,2809,750.25
2/7/2023,3880,3356,2791,749.75
2/8/2023,3865,3359,2787,764.75
2/9/2023,3852,3358,2772,757.25
2/10/2023,3845,3381,2768,786
2/13/2023,3885,3387,2790,792
2/14/2023,3875,3377,2838,786
2/15/2023,3855,3377,2850,769.25
2/16/2023,3822,3373,2851,776.25
2/17/2023,3826,3370,2858,776.25
2/20/2023,3840,3364,2871,769.5
2/21/2023,3861,3361,2873,762.75
2/22/2023,3873,3357,2873,750
2/23/2023,3851,3362,2871,750.5
2/24/2023,3849,3353,2867,721.75
2/27/2023,3830,3356,2848,710
2/28/2023,3799,3356,2841,705.5
3/1/2023,3752,3346,2848,710
3/2/2023,3734,3345,2846,712.75
3/3/2023,3756,3341,2842,708.75
3/6/2023,3777,3339,2839,695.25
3/7/2023,3807,3353,2841,698
3/8/2023,3800,3350,2850,687.5
3/9/2023,3812,3354,2842,665.75
3/10/2023,3819,3344,2849,679.25
3/13/2023,3792,3343,2835,684.5
3/14/2023,3778,3342,2828,696.25
3/15/2023,3763,3370,2834,702.75
3/16/2023,3751,3378,2827,699
3/17/2023,3730,3372,2832,710.5
3/20/2023,3653,3341,2846,700.75
3/21/2023,3626,3374,2807,683.25
3/22/2023,3610,3378,2770,663.5
3/23/2023,3559,3368,2771,662
3/24/2023,3493,3367,2743,688.5
3/27/2023,3499,3377,2722,698
3/28/2023,3505,3378,2721,699.75
3/29/2023,3547,3377,2742,704.75
3/30/2023,3543,3374,2740,692.25
3/31/2023,3526,3374,2724,692.25
4/3/2023,3584,3369,2727,693.5
4/4/2023,3656,3393,2721,691.5
4/6/2023,3620,3394,2711,675.5
4/7/2023,3559,3396,2713,677
4/10/2023,3551,3395,2748,678.5
4/11/2023,3549,3392,2766,674
4/12/2023,3570,3385,2757,679.5
4/13/2023,3585,3419,2754,667
4/14/2023,3588,3441,2750,682.5
4/17/2023,3535,3441,2740,696.5
4/18/2023,3588,3444,2742,709.5
4/19/2023,3533,3441,2740,692.75
4/20/2023,3448,3423,2713,680
4/21/2023,3434,3426,2691,673
4/24/2023,3403,3428,2673,657
4/25/2023,3413,3428,2665,653
4/26/2023,3439,3432,2680,642
4/27/2023,3457,3438,2673,629.25
4/28/2023,3478,3427,2643,633.75
5/4/2023,3479,3424,2616,645
5/5/2023,3487,3405,2602,660.25
5/8/2023,3540,3399,2614,654
5/9/2023,3531,3392,2616,643.5
5/10/2023,3490,3380,2568,641.25
5/11/2023,3477,3371,2540,627.25
5/12/2023,3509,3370,2523,635
5/15/2023,3502,3371,2523,660.75
5/16/2023,3537,3380,2545,647.5
5/17/2023,3489,3384,2533,625.5
5/18/2023,3476,3402,2540,611.75
5/19/2023,3483,3408,2542,605
5/22/2023,3443,3417,2563,606.25
5/23/2023,3488,3437,2572,622.25
5/24/2023,3469,3460,2568,606.25
5/25/2023,3445,3479,2565,604.25
5/26/2023,3428,3458,2600,616
5/29/2023,3456,3484,2626,603.5
5/30/2023,3420,3494,2619,591
5/31/2023,3387,3491,2631,594.25
6/1/2023,3409,3460,2639,610.75
6/2/2023,3408,3444,2650,619
6/5/2023,3470,3445,2662,624
6/6/2023,3509,3440,2645,627.75
6/7/2023,3490,3462,2638,616.75
6/8/2023,3476,3462,2648,626.25
6/9/2023,3488,3463,2656,630.25
6/12/2023,3512,3466,2605,633.75
6/13/2023,3513,3461,2589,636.25
6/14/2023,3546,3468,2610,630.25
6/15/2023,3559,3476,2627,661.5
6/16/2023,3649,3476,2658,688
6/19/2023,3700,3485,2679,691.875
6/20/2023,3757,3462,2683,695.75
6/21/2023,3783,3456,2683,734.5
6/26/2023,3757,3458,2684,738.25
6/27/2023,3769,3455,2714,699
6/28/2023,3724,3545,2699,669.75
6/29/2023,3715,3546,2709,667.5
6/30/2023,3741,3525,2726,651
7/3/2023,3893,3519,2718,641.75
7/4/2023,3976,3513,2731,658
7/5/2023,3986,3512,2767,674.25
7/6/2023,3977,3512,2785,658
7/7/2023,3967,3519,2788,649.5
7/10/2023,3934,3514,2780,646.25
7/11/2023,4010,3521,2770,660.5
7/12/2023,4033,3517,2742,632.75
7/13/2023,4025,3533,2741,639.75
7/14/2023,4052,3556,2742,661.5
7/17/2023,4062,3524,2752,653.75
7/18/2023,4082,3519,2714,670.75
7/19/2023,4137,3505,2720,727.75
7/20/2023,4193,3495,2720,727
7/21/2023,4159,3494,2703,697.5
7/24/2023,4178,3494,2686,757.5
7/25/2023,4216,3550,2687,760.25
7/26/2023,4240,3542,2707,720
7/27/2023,4324,3552,2695,712.75
7/28/2023,4302,3552,2706,704.25
7/31/2023,4237,3566,2712,665.75
8/1/2023,4285,3553,2710,652.25
8/2/2023,4322,3550,2705,640
8/3/2023,4313,3549,2740,627
8/4/2023,4337,3546,2754,633
8/7/2023,4360,3582,2764,657.5
8/8/2023,4362,3537,2779,656.25
8/9/2023,4410,3521,2805,635
8/10/2023,4444,3511,2799,637.75
8/11/2023,4481,3499,2746,626.75
8/14/2023,3841,3499,2704,616
8/15/2023,3906,3510,2700,598.5
8/16/2023,3887,3543,2666,623
8/17/2023,3940,3554,2625,615.25
8/18/2023,3982,3577,2643,639
8/21/2023,4068,3594,2655,625.5
8/22/2023,4037,3593,2649,627.5
8/23/2023,3994,3599,2665,639.75
8/24/2023,4002,3610,2682,631.75
8/25/2023,4045,3617,2706,621.75
8/28/2023,4133,3622,2702,617
8/29/2023,4148,3628,2726,600.5
8/30/2023,4134,3641,2724,607
8/31/2023,4144,3656,2731,602
9/1/2023,4109,3662,2719,595.5
9/4/2023,4076,3675,2685,597.375
9/5/2023,4076,3664,2683,599.25
9/6/2023,4118,3633,2688,609
9/7/2023,4144,3612,2689,599.75
9/8/2023,4090,3591,2664,595.75
9/11/2023,4098,3587,2667,584.5
9/12/2023,4084,3588,2656,587.5
9/13/2023,4004,3584,2646,597.25
9/14/2023,3982,3579,2661,593.75
9/15/2023,4026,3588,2679,604.25
9/18/2023,4036,3582,2661,591.25
9/19/2023,3972,3572,2641,584
9/20/2023,3969,3567,2654,588.75
9/21/2023,3960,3557,2650,575.75
9/22/2023,3941,3554,2648,579.5
9/25/2023,3944,3561,2635,589
9/26/2023,3975,3562,2621,589
9/27/2023,3979,3534,2602,579.5
9/28/2023,4000,3533,2616,578.75
10/9/2023,3890,3495,2589,572.75
10/10/2023,3831,3498,2590,558.5
10/11/2023,3800,3511,2532,556
10/12/2023,3802,3539,2539,571.5
10/13/2023,3856,3547,2537,579.75
10/16/2023,3871,3541,2531,577.25
10/17/2023,3888,3542,2511,570.5
10/18/2023,3918,3539,2495,580.25
10/19/2023,3896,3539,2502,594
10/20/2023,3919,3539,2508,586
10/23/2023,3903,3561,2510,587.25
10/24/2023,3855,3567,2516,580.5
10/25/2023,3898,3565,2522,568.5
10/26/2023,3890,3565,2498,579.5
10/27/2023,3923,3566,2506,575.5
10/30/2023,3980,3558,2528,566
10/31/2023,3940,3590,2534,556.25
11/1/2023,3941,3596,2541,561.75
11/2/2023,3983,3594,2544,565.5
11/3/2023,4016,3589,2547,572.5
11/6/2023,4082,3587,2563,575.75
11/7/2023,4120,3571,2554,570.25
11/8/2023,4132,3540,2547,592.25
11/9/2023,4130,3533,2549,580.75
11/10/2023,4070,3538,2527,575.25
11/13/2023,4049,3521,2523,579
11/14/2023,4097,3547,2533,572
11/15/2023,4118,3574,2543,560.5
11/16/2023,4118,3570,2550,553.5
11/17/2023,4058,3558,2546,575.75
11/20/2023,3987,3549,2565,570.5
11/21/2023,4009,3510,2572,582.75
11/22/2023,4026,3502,2547,584.5
11/23/2023,3970,3515,2539,580.875
11/24/2023,3966,3541,2538,577.25
11/27/2023,3928,3542,2517,561
11/28/2023,3886,3521,2500,572
11/29/2023,3897,3509,2493,585.75
11/30/2023,3884,3498,2498,598
12/1/2023,3862,3496,2493,602.75
12/4/2023,3881,3491,2491,620.5
12/5/2023,3905,3499,2487,631.25
12/6/2023,3901,3491,2489,633.5
12/7/2023,3922,3507,2493,642.25
12/8/2023,3961,3513,2490,631.75
12/11/2023,3432,3506,2488,609.5
12/12/2023,3454,3501,2466,625.5
12/13/2023,3458,3501,2459,605.25
12/14/2023,3430,3502,2451,615.75
12/15/2023,3424,3537,2450,629.25
12/18/2023,3386,3537,2409,617
12/19/2023,3393,3540,2383,622.75
12/20/2023,3362,3535,2382,610
12/21/2023,3345,3535,2393,612.5
12/22/2023,3332,3528,2411,616.25
12/25/2023,3336,3522,2440,626.25
12/26/2023,3351,3525,2427,636.25
12/27/2023,3350,3536,2413,623
12/28/2023,3361,3545,2422,631.5
12/29/2023,3343,3525,2423,628
1/2/2024,3258,3518,2421,606.75
1/3/2024,3239,3525,2434,600.25
1/4/2024,3254,3515,2432,613.5
1/5/2024,3226,3514,2405,616
1/8/2024,3174,3528,2393,596.25
1/9/2024,3154,3542,2381,610
1/10/2024,3152,3550,2372,610.75
1/11/2024,3125,3545,2387,603.75
1/12/2024,3098,3552,2389,596
1/15/2024,3068,3551,2378,589
1/16/2024,3064,3543,2379,582
1/17/2024,3076,3530,2371,582.5
1/18/2024,3017,3526,2346,585.5
1/19/2024,3035,3527,2352,593.25
1/22/2024,3048,3510,2328,596.5
1/23/2024,3046,3515,2329,596.5
1/24/2024,3066,3520,2344,610.75
1/25/2024,3060,3519,2348,612.25
1/26/2024,3018,3520,2348,600.25
1/29/2024,2955,3521,2372,593.5
1/30/2024,2948,3510,2372,605.5
1/31/2024,2986,3502,2383,595.25
2/1/2024,3020,3476,2394,601.5
2/2/2024,3009,3455,2402,599.75
2/5/2024,2999,3458,2390,590.25
2/6/2024,2993,3469,2404,595
2/7/2024,2999,3465,2408,602
2/8/2024,2983,3500,2408,588.5
2/19/2024,3025,3478,2389,583.875
2/20/2024,3042,3452,2401,579.25
2/21/2024,3012,3482,2419,578
2/22/2024,2983,3473,2441,579.25
2/23/2024,2983,3457,2459,569
2/26/2024,2987,3449,2465,574.75
2/27/2024,3011,3445,2453,584.25
2/28/2024,3028,3453,2458,574.75
2/29/2024,3021,3449,2456,576.25
3/1/2024,3049,3445,2464,557.75
3/4/2024,3109,3442,2442,564
3/5/2024,3129,3444,2440,551
3/6/2024,3134,3443,2447,531
3/7/2024,3131,3449,2457,528.5
3/8/2024,3185,3452,2451,537.75
3/11/2024,3220,3450,2431,547.25
3/12/2024,3228,3445,2444,547.5
3/13/2024,3226,3443,2440,544.25
3/14/2024,3239,3443,2434,532.25
3/15/2024,3278,3582,2437,528.5
3/18/2024,3290,3585,2451,542.75
3/19/2024,3281,3587,2423,552.5
3/20/2024,3302,3591,2425,545
3/21/2024,3370,3595,2422,546.75
3/22/2024,3345,3592,2408,554.75
3/25/2024,3264,3596,2402,555
3/26/2024,3261,3596,2388,543.5
3/27/2024,3254,3592,2387,547.5
3/28/2024,3229,3596,2400,560.25
3/29/2024,3239,3601,2415,558.625
4/1/2024,3260,3599,2416,557
4/2/2024,3331,3599,2428,545.25
4/3/2024,3291,3607,2435,556
4/8/2024,3327,3604,2413,565.75
4/9/2024,3332,3601,2414,557.75
4/10/2024,3326,3597,2417,558.5
4/11/2024,3294,3613,2405,551.75
4/12/2024,3291,3605,2395,556
4/15/2024,3355,3611,2396,551.75
4/16/2024,3377,3609,2386,564.75
4/17/2024,3326,3605,2377,552.25
4/18/2024,3307,3609,2382,553
4/19/2024,3331,3605,2407,566.75
4/22/2024,3350,3597,2412,587.5
4/23/2024,3364,3600,2414,602.75
4/24/2024,3381,3603,2417,613
4/25/2024,3378,3604,2414,620.5
4/26/2024,3380,3612,2396,622.25
4/29/2024,3376,3610,2387,608.5
4/30/2024,3384,3605,2386,603.25
5/6/2024,3478,3605,2400,648.75
5/7/2024,3556,3608,2427,642.75
5/8/2024,3587,3587,2442,634
5/9/2024,3582,3570,2452,637.5
5/10/2024,3536,3566,2446,663.5
5/13/2024,3542,3566,2451,687
5/14/2024,3559,3561,2457,672.5
5/15/2024,3549,3551,2454,665.75
5/16/2024,3562,3549,2464,663.25
5/17/2024,3571,3550,2464,651.25
5/20/2024,3578,3548,2455,688.75
5/21/2024,3601,3547,2450,697.5
5/22/2024,3594,3540,2465,693
5/23/2024,3613,3545,2474,698
5/24/2024,3624,3536,2469,697.25
5/27/2024,3599,3535,2453,698.75
5/28/2024,3589,3533,2451,700.25
5/29/2024,3503,3533,2438,692.75
5/30/2024,3486,3528,2431,681
5/31/2024,3485,3525,2434,678.5
6/3/2024,3466,3522,2437,672.75
6/4/2024,3457,3518,2434,658.25
6/5/2024,3480,3513,2434,646.75
6/6/2024,3486,3510,2441,639.5
6/7/2024,3510,3507,2483,627.5
6/11/2024,3489,3511,2489,626.5
6/12/2024,3473,3510,2490,617
6/13/2024,3459,3500,2486,620
6/14/2024,3446,3500,2487,612.75
6/17/2024,3411,3494,2474,591.5
6/18/2024,3371,3493,2465,582
6/19/2024,3370,3486,2461,584
6/20/2024,3370,3479,2463,586
6/21/2024,3346,3478,2466,575.75
6/24/2024,3349,3478,2485,571
6/25/2024,3345,3478,2495,560.5
6/26/2024,3351,3472,2511,560.5
6/27/2024,3358,3486,2513,579.5
6/28/2024,3368,3483,2510,573.5
7/1/2024,3356,3479,2491,590.25
7/2/2024,3367,3512,2481,581
7/3/2024,3394,3480,2487,574
7/4/2024,3345,3485,2476,582.25
7/5/2024,3327,3520,2472,590.5
7/8/2024,3332,3491,2465,570.5
7/9/2024,3266,3511,2444,572
7/10/2024,3230,3485,2424,561.5
7/11/2024,3213,3486,2418,571.25
7/12/2024,3188,3490,2415,550.75
7/15/2024,3122,3496,2396,532.5
7/16/2024,3093,3494,2379,530.75
7/17/2024,3131,3486,2386,539.25
7/18/2024,3108,3484,2386,535.25
7/19/2024,3128,3487,2391,542.75
7/22/2024,3158,3484,2405,548
7/23/2024,3170,3482,2401,542.75
7/24/2024,3166,3482,2381,547
7/25/2024,3148,3485,2353,537.75
7/26/2024,3169,3484,2350,523.5
7/29/2024,3099,3481,2340,531
7/30/2024,3084,3476,2344,524
7/31/2024,3072,3489,2342,527.25
8/1/2024,3065,3528,2343,532
8/2/2024,3065,3529,2320,539
8/5/2024,3075,3528,2300,539.5
8/6/2024,3038,3517,2275,543.25
8/7/2024,2997,3532,2263,538.25
8/8/2024,2990,3514,2284,537.5
8/9/2024,2978,3497,2307,542.5
8/12/2024,2980,3496,2305,536.75
8/13/2024,2929,3499,2300,528.75
8/14/2024,2902,3494,2287,534.75
8/15/2024,2938,3493,2292,528.25
8/16/2024,2947,3491,2264,530
8/19/2024,2932,3487,2272,552.25
8/20/2024,2942,3483,2286,556.5
8/21/2024,2943,3477,2290,544
8/22/2024,2963,3474,2311,535.5
8/23/2024,2942,3467,2314,528
8/26/2024,2933,3465,2325,525
8/27/2024,2962,3467,2345,535.5
8/28/2024,3008,3475,2348,541.5
8/29/2024,3000,3465,2341,548.75
8/30/2024,3023,3470,2336,551.5
9/2/2024,3021,3459,2314,559.125
9/3/2024,3061,3467,2273,566.75
9/4/2024,3052,3499,2282,580.75
9/5/2024,3072,3515,2289,574.75
9/6/2024,3097,3521,2277,567
9/9/2024,3098,3486,2237,568.5
9/10/2024,3073,3483,2214,574.25
9/11/2024,3037,3474,2195,579.25
9/12/2024,3044,3478,2199,578.5
9/13/2024,3057,3475,2195,594.75
9/18/2024,3121,3482,2183,575.75
9/19/2024,3096,3488,2182,565.5
9/20/2024,3058,3487,2164,568.5
9/23/2024,3045,3491,2134,582.5
9/24/2024,3092,3491,2136,578
9/25/2024,3092,3492,2148,589.25
9/26/2024,3097,3482,2135,584.25
9/27/2024,3089,3481,2171,580
9/30/2024,3127,3484,2205,584
10/8/2024,3052,3484,2193,594.75
10/9/2024,3042,3483,2181,599
10/10/2024,3021,3486,2215,603.75
10/11/2024,3000,3483,2212,599
10/14/2024,2983,3476,2226,585.25
10/15/2024,2997,3493,2223,579.5
10/16/2024,2998,3496,2209,585
10/17/2024,2993,3494,2203,589.5
10/18/2024,2970,3503,2190,572.75
10/21/2024,2983,3529,2179,572.25
10/22/2024,2976,3514,2170,576
10/23/2024,2993,3496,2201,578.5
10/24/2024,2989,3497,2231,581.5
10/25/2024,2979,3496,2228,569
10/28/2024,2965,3499,2220,558.75
10/29/2024,2983,3494,2226,570.5
10/30/2024,2995,3496,2236,573.25
10/31/2024,2999,3483,2245,570.5
11/1/2024,2986,3469,2239,568
11/4/2024,2980,3457,2228,568.75
11/5/2024,2973,3537,2217,572.5
11/6/2024,2989,3549,2222,573.25
11/7/2024,3068,3536,2223,571.5
11/8/2024,3061,3538,2211,572.5
11/11/2024,3063,3537,2191,565.5
11/12/2024,3077,3535,2186,552.25
11/13/2024,3067,3532,2197,541
11/14/2024,3045,3526,2199,530.25
11/15/2024,2851,3521,2187,536.5
11/18/2024,2821,3514,2201,547.25
11/19/2024,2829,3509,2206,567.75
11/20/2024,2824,3509,2199,572.25
11/21/2024,2820,3509,2196,569.5
11/22/2024,2791,3508,2201,564.75
11/25/2024,2787,3505,2198,555.75
11/26/2024,2801,3502,2193,558
11/27/2024,2806,3495,2183,548.5
11/28/2024,2798,3494,2181,548.25
11/29/2024,2802,3456,2167,548
